trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'a': 0.5, 'e': 0.990766245465348}",25,0,-83.22237536409388,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.9906301689599851}",25,0,-108.71483418984344,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.9904931018245359}",20,0,-131.5346378469354,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.9903550441960673}",25,0,-170.3343247828023,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
140,False,"{'a': 0.5, 'e': 0.9902159962126371}",25,8,-19.247664233297854,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.9900759580132933}",20,0,-65.32546568937381,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.9899349297380738}",30,0,-162.05157337315163,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
143,False,"{'a': 0.5, 'e': 0.9897929115280072}",20,6,-13.587019349908356,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.9896499035251115}",20,0,-196.63481124035815,"{0: 7, 1: 2, 2: 7, 3: 2, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.9895059058723947}",25,0,-153.99823149904344,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.9893609187138546}",20,0,-130.17852407789255,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.9892149421944781}",25,0,-237.5422975866495,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
148,False,"{'a': 0.5, 'e': 0.989067976460242}",25,0,-135.1265755979288,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.9889200216581118}",20,0,-106.3022693776146,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.9887710779360422}",25,0,-139.05805717109337,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.9886211454429773}",20,0,-93.9132286384951,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.9884702243288492}",20,0,-81.79097034049389,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.9883183147445792}",25,0,-63.74521457341034,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.9881654168420767}",20,0,-66.34407425462653,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.9880115307742399}",20,0,-122.01643908100422,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
156,False,"{'a': 0.5, 'e': 0.9878566566949545}",20,0,-25.515854146943877,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.9877007947590948}",20,5,-15.927452533511456,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.9875439451225226}",25,0,-128.33906594823992,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.9873861079420876}",20,0,-212.38257963414296,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
160,False,"{'a': 0.5, 'e': 0.9872272833756269}",25,0,-105.3062842611323,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.9870674715819652}",20,0,-22.903851196111376,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.986906672720914}",20,0,-61.961889902318006,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.9867448869532726}",30,0,-64.16434179160905,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.9865821144408262}",20,11,-20.835105506198786,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.9864183553463477}",30,0,-212.81821924199886,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
166,False,"{'a': 0.5, 'e': 0.986253609833596}",25,0,-164.60608534106407,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
167,False,"{'a': 0.5, 'e': 0.9860878780673167}",20,0,-60.49536795255246,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
